0,0.0010032
1,0.000997214
2,0.000992176
3,0.0010004
4,0.00100119
5,0.00100047
6,0.000998454
7,0.000998825
8,0.00099925
9,0.00100203
10,0.000997973
11,0.000999954
12,0.00100001
13,0.00100027
14,0.000999769
15,0.00100001
16,0.000999991
17,0.00100307
18,0.000997009
19,0.000999936
20,0.00100001
21,0.00100005
22,0.000999954
23,0.000999992
24,0.00100003
25,0.000999954
26,0.00100003
27,0.000999991
28,0.00100001
29,0.000999991
30,0.000999973
31,0.00100005
32,0.00100079
33,0.000999176
34,0.00100042
35,0.000999714
36,0.00099988
37,0.00100025
38,0.00099975
39,0.000999992
40,0.0010001
41,0.000999936
42,0.000999936
43,0.00100005
44,0.000999973
45,0.00100003
46,0.000999991
47,0.000999992
48,0.000999972
49,0.00100005
50,0.000999955
51,0.00100003
52,0.000999973
53,0.00100005
54,0.000999991
55,0.000999973
56,0.00100003
57,0.000999992
58,0.00100001
59,0.000999936
60,0.00100007
61,0.000999954
62,0.00100001
63,0.00100003
64,0.000999992
65,0.00100001
66,0.000999992
67,0.000999991
68,0.000999991
69,0.00100003
70,0.000999973
71,0.00100003
72,0.000999991
73,0.000999992
74,0.000999973
75,0.00100005
76,0.000999955
77,0.00100005
78,0.000999972
79,0.00100001
80,0.000999992
81,0.00100001
82,0.000999972
83,0.00100003
84,0.000999991
85,0.00100001
86,0.000999954
87,0.00100005
88,0.000999973
89,0.00100029
90,0.00099975
91,0.000999973
92,0.000999991
93,0.00100003
94,0.000999973
95,0.00100003
96,0.000999991
97,0.00100012
98,0.00099988
99,0.000999955
100,0.00100001
101,0.00100005
102,0.000999972
103,0.00100003
104,0.000999991
105,0.00100001
106,0.000999991
107,0.000999955
108,0.00100005
109,0.000999955
110,0.00100005
111,0.000999991
112,0.000999991
113,0.00100001
114,0.00100001
115,0.000999954
116,0.00100001
117,0.00100003
118,0.000999991
119,0.00100001
120,0.000999991
121,0.00100001
122,0.000999991
123,0.00100001
124,0.000999973
125,0.000999991
126,0.00100003
127,0.000999991
128,0.000999991
129,0.00100003
130,0.000999936
131,0.00100006
132,0.000999917
133,0.0010001
134,0.000999936
135,0.00100057
136,0.00100001
137,0.00100058
138,0.000998917
139,0.0010001
140,0.000999824
141,0.00100005
142,0.0010001
143,0.00099988
144,0.000999991
145,0.00100007
146,0.000999935
147,0.00100001
148,0.00100088
149,0.000999418
150,0.000999843
151,0.00100001
152,0.00099988
153,0.00100008
154,0.000999899
155,0.000999972
156,0.00100003
157,0.00100001
158,0.000999991
159,0.000999991
160,0.00100001
161,0.00100001
162,0.000999991
163,0.000999992
164,0.000999991
165,0.000999991
166,0.000999992
167,0.00100005
168,0.000999991
169,0.00100012
170,0.00099988
171,0.000999955
172,0.000999991
173,0.00100006
174,0.000999992
175,0.000999935
176,0.00100007
177,0.000999973
178,0.00100001
179,0.000999972
180,0.00100001
181,0.000999992
182,0.00100003
183,0.000999973
184,0.00100003
185,0.000999973
186,0.00100001
187,0.000999973
188,0.00100003
189,0.00100005
190,0.000999954
191,0.000999973
192,0.00100003
193,0.000999973
194,0.00100005
195,0.000999992
196,0.000999972
197,0.00100003
198,0.000999991
199,0.000999991
200,0.00100001
201,0.000999973
202,0.00100003
203,0.000999973
204,0.00100003
205,0.000999972
206,0.00100001
207,0.00100001
208,0.00100001
209,0.000999991
210,0.000999992
211,0.00100001
212,0.000999954
213,0.00100006
214,0.000999973
215,0.00100001
216,0.000999973
217,0.00100003
